"id","courseName","academy","applicationDeadline""8305","Computer Science","University of Potsdam","Information about the application deadlines can be found here.  Winter semester: 1 June Summer semester: 1 December"
"9058","Computer Science","Kiel University of Applied Sciences","Summer semester: 15 March Winter semester: 15 September  See also: https://www.haw-kiel.de/studium/studienangebot/computer-science"
"5616","Master of Science in Computer Science","Paderborn University","Winter semester (staring in October): 31 May for international applicants (21 September for applications from Germany/EU)  Summer semester (starting in April): 30 November for international applicants (21 March for applications from Germany/EU)"
"10354","Computer Science","Dresden University of Technology","For the following winter semester:  (Prospective) degree holders from non-German institutions of higher education: 1 April to 31 May:&nbsp;non-EU nationals 1 April to 15 July: German or EU nationals All other applicants / (prospective) graduates from German institutions of higher education:&nbsp; 1 June to 15 July  For the following summer semester:  (Prospective) degree holders from non-German institutions of higher education: 1 October to 30 November: non-EU nationals 1 October to 15 January: EU nationals All other applicants / (prospective) graduates from German institutions of higher education: 1 December to 15 January"
"4455","Master of Science in Computer Science","University of Passau","The application round for the April intake starts in mid-November of the previous year; for the October intake, the application round starts in early April. As the application deadlines can change on short notice, we ask that you check our application pages closer to the time for the specific dates (and what documents you need to submit)."
"4238","Computer Science for Digital Media","Bauhaus-Universität Weimar","Applicants who graduated outside the European Union: 15 July for the following winter semester 15 January for the following summer semester  Applicants who graduated within the EU: 30 September for the following winter semester 31 March for the following summer semester"
"4870","MSc Applied Computer Science","Deggendorf Institute of Technology","15 April to 15 June for October entries (winter semester) 1 October to 1 November for&nbsp;March entries (summer semester)"
"7606","Computer Science","University of Bonn"," 	For the winter semester: 1 May for non-EU citizens, 15 September for EU citizens and nationals from countries that are visa-exempted 	For the summer semester: 1 November for non-EU citizens, 15 March for EU citizens and nationals from countries that are visa-exempted   Please verify these&nbsp;dates on our website&nbsp;before applying:&nbsp;https://www.informatik.uni-bonn.de/en/studies/examination-office/deadlines-at-a-glance#AdmissionMaster."
"9856","Computer Science","University of Regensburg","1 June for the following winter semester, 1 December for the following summer semester  Non-EU applicants are strongly advised to apply for the winter semester by 1 May at the latest and for the summer semester by 1 November at the latest in order to be able to apply for a visa as soon as possible if they are admitted."
"3629","Computer Science (Master of Science)","RPTU University of Kaiserslautern-Landau","For international applicants applying from abroad who need a visa: 30 April for the following winter semester 31 October for the following summer semester  Others: 15 January for the following summer semester 15 July for the following winter semester"
"8324","Master of Science in Computer Science","Bingen University of Applied Sciences","Enrolment is only possible for the winter semester.  Winter semester 2026/27  Start of the application period: 2 May 2026  End of the application period: 1 June 2026 (It presumably might end earlier, so please see our website.)"
"4591","Computer Science","University of Siegen","https://www.master-cs.eti.uni-siegen.de/en/application  Non-EU applicants are advised to apply as early as possible, allowing for some delay to complete the visa process."
"5625","Master of Science in Computer Engineering","Paderborn University","Winter semester (starting in October): 31 May for international applicants (21 September for applications from Germany/EU)  Summer semester (starting in April): 30 November for international applicants (21 March for applications from Germany/EU)"
"7708","Master of Science in Natural Language Processing","Trier University","Non-EU citizens:   	15 January 2026 for the summer semester 2026 (admission also valid for the winter semester 2026/27) 	31 May 2026 for the winter semester 2026/27 (admission also valid for the summer semester 2027)   German citizens, EU citizens, and applicants with a BA or MA degree from a German university:   	15 March 2026 for the summer semester 2026 (admission also valid for the winter semester 2026/27) 	15 September 2026 for the winter semester 2026/27 (admission also valid for the summer semester 2027)   Admission is generally valid for two subsequent semesters. Applicants from countries requiring a visa for entering Germany should consider applying by 15 January for beginning their studies in the winter semester of the same year, giving them more time to complete the visa process and to prepare their stay."
"8935","Computer Science – Master of Science","Leibniz University Hannover","Application from students from non-EU countries (VPD from uni-assist is required.)   	15 April to 31 May of the year for the winter semester 	15 October to 30 November of the previous year for the summer semester   Application from students from Germany and the EU   	1 June to 15 July of the year for the winter semester 	1 December to 15 January of the year for the summer semester   Prospective students applying from outside the EU must request a Preliminary Examination Documentation (VPD) from uni-assist before applying to the Master&#39;s programme. The processing time for the VPD takes up to eight weeks. Therefore, please allow enough time before applying for the programme. More information about applying for the VPD can be found on the central application pages."
"5244","Scientific Computing","University of Bayreuth","1 March to 15 May (winter semester) 1 September to 15 November (summer semester)"
"9583","Philosophy and Computer Science","University of Bayreuth","We have a rolling admissions policy. Applications for the winter semester will be accepted from 1 March onwards. We advise you to apply as early as possible.   	 	You can apply before you have completed your Bachelor&#39;s degree, but in such circumstances, we will only make you a conditional offer, and you will have to complete your degree by 1 October to enrol. 	 	 	We will accept applications from EU applicants until 15 July. Non-EU applicants are especially advised to apply no later than 15 June due to possible delays in obtaining visas, etc. 	 "
"6148","Master of Science in Computer Science","Kiel University","The application deadline for the summer semester is 15 January. The application deadline for the winter semester is 15 July."
"7055","Master of Science in Computational Sciences","Freie Universität Berlin","All applicants: 31 May for the following winter semester The dates may change. Please&nbsp;find more information here."
"9012","Computer Engineering for IoT Systems","Nordhausen University of Applied Sciences","30 April 2026&nbsp;(winter semester 2026/2027 and summer semester 2027)"
"4288","Computational Materials Science (CMS)","TU Bergakademie Freiberg","1 January &ndash; 15 April  For applicants from India, China and Vietnam, please note: The APS certificate must be submitted with the application. The submission form alone will not be accepted."
"7670","Visual Computing","Otto von Guericke University Magdeburg","15 May  Date may differ for the current semester; please check the programme website."
"3690","Computer Simulation in Science (MSc)","University of Wuppertal","I. Formal Application: 15 November to 31 March Applications including the Bachelor&#39;s transcript and the scientific check sheet must be sent to the Application Service for International Students: uni-assist e.V. For further information on the uni-assist application procedure, visit https://www.uni-assist.de/en/.  Applications are accepted even if the Bachelor&#39;s programme is not yet completed. Submit your most recent transcript.  For applicants with a German Bachelor&#39;s degree, a different application procedure applies; please check our&nbsp;website.  II. Scientific Check: After a positive check by uni-assist, applications will be reviewed by the admission committee to check that the educational backgrounds comply with the scientific requirements of the study programme.  Admission letters will be issued by the office for student admission and registration for international students."
"3624","Computer Science (MSc)","Saarland University","International applications are very welcome. Application deadlines are:   	For any winter semester starting in October: 	Early deadline: 15 November (notification at the latest in February of the following year in case of a positive decision) 	Normal deadline: 15 May 	For any summer semester starting in April: 	Early deadline: 15 May (notification at the latest in July in case of a positive decision) 	Normal deadline: 15 November "
"7744","MSc High Performance Computing / Quantum Computing","Deggendorf Institute of Technology","1 October to 15 January for March entries (summer semester)"
"9042","Computer Science (MSc)","Philipps-Universität Marburg","All details can be found at: https://www.uni-marburg.de/en/studying/admissions/deadlines"
"7618","Computer Science International (CSI)","University of Rostock","Please check the application periods online at https://www.uni-rostock.de/en/study/international-students/degree-students/application-for-non-german-prospective-students-via-uni-assist/."
"5245","Computer Science (MSc)","University of Bayreuth","Application period for German and EU citizens: 15 April to 15 October (for winter semester) 15 October to 15 April (for summer semester)  Application period (non-EU citizens) 15 April to 15 July (for winter semester) 15 October to 15 January (for summer semester)   	Application guide (English) 	Application guide (German) "
"4700","Applied Computer Science (MSc)","University of Göttingen"," 	Non-EU and stateless applicants: 	 		15 April for the upcoming winter semester 		15 October for the upcoming summer semester 	 	 	EU applicants: 	 		15 June for the upcoming winter semester 		15 December for the upcoming summer semester 	 	   Applicants who hold a degree from an EU member country are considered EU applicants, regardless of their nationality."
"10558","Mathematics and Computer Science","University of Augsburg","For every winter semester:   	1 September 	Non-EU applicants: Due to visa issues we strongly recommend to apply well ahead (suggested: 1 May). Early admission will be granted to allow sufficient time for visa processing.   For every summer semester:   	1 March 	Non-EU applicants: Due to visa issues, we strongly recommend to apply well ahead (suggested: 1 December). Early admission will be granted to allow sufficient time for visa processing. "
"4758","Mathematics and Computer Science (MSc)","Saarland University","Application deadlines: 15 November for the following summer semester 15 May for the following winter semester  International applications are very welcome."
