id,courseName,academy,applicationDeadline
6318,Advanced Computational Methods in Civil Engineering,RWTH Aachen University,"<p>EU/EEA applicants: 15 July for the following winter semester and 15 January for the following summer semester<br />
Non-EU / non-EEA applicants: 1 March for the following winter semester and 1 September for the following summer semester</p>"
3981,Applied Computer Science (MSc),SRH University Heidelberg,"<p>There are <strong>no application deadlines</strong>, so you can <strong>apply at any time </strong>until all of the places in the programme have been taken.</p>"
4700,Applied Computer Science (MSc),University of G?ttingen,"<p>Non-EU applicants: 15 April for the following winter semester and 15 October for the following summer semester<br />
EU applicants: 15 June for the following winter semester and 15 December for the following summer semester</p>"
7641,Applied Data Science (MSc),University of G?ttingen,"<ul>
	<li>
	<p>1 May for applications for the winter semester</p>
	</li>
	<li>
	<p>1 November of the preceding year for applications for the summer semester</p>
	</li>
</ul>"
4886,Applied Data Science and Analytics (MSc),SRH University Heidelberg,"<p>There are <strong>no application deadlines,</strong> so you can apply at any time until all of the places in the programme have been filled.</p>"
6236,Applied Research in Computer Science (MSc),Hof University of Applied Sciences,<p>Our <strong><a href=https://www3.primuss.de/cgi-bin/bew_anmeldung_v2/index.pl?Session=&amp;FH=fhh&amp;Email=&amp;Portal=1&amp;Language=en">application portal</a></strong> is open during the following application periods:</p>
,,,
<ul>,,,
"	<li>5 November &ndash; 30 November for the following summer semester</li>",,,
"	<li>15 April &ndash; 31 May for the following winter semester</li>",,,
</ul>",,,
8322,Artificial Intelligence,Brandenburg University of Technology Cottbus-Senftenberg,"<ul>
	<li>Applicants who require a visa:<strong> 15 July </strong>for the following winter semester and <strong>15 January </strong>for the following summer semester</li>
	<li>Applicants who don&#39;t require a visa:&nbsp;<strong>31 August</strong>&nbsp;for the following winter semester and <strong>1 March</strong> for the following summer semester</li>
</ul>"
7657,"Artificial Intelligence (AI), MSc",FAU Erlangen-N邦rnberg,<p>The application for the Master&#39;s programme is possible for the summer and winter semester. Please note that you can only apply once the application period for the respective semester has started! You can find details&nbsp;<a href=https://www.fau.eu/education/application-and-enrolment/applying-for-masters-degree-programmes/#collapse_3">here</a>. The current application periods are as follows:</p>
,,,
<ul>,,,
"	<li>17 December to 15 January (applicants for the summer semester)</li>",,,
"	<li>12 April to 15 July (applicants for the winter semester)</li>",,,
</ul>",,,
7852,Artificial Intelligence (MSc),Technical University of Applied Sciences W邦rzburg-Schweinfurt (THWS),<p>15 January for the following summer semester</p>
